product,revenue,sales,profits,description,region,date
Gadget G,63383.59,84,13912.55,Compact device for consumer electronics,North America,2024-08-29
Widget J,11143.69,66,2395.13,Eco-friendly product for sustainable markets,Australia,2024-04-14
Gadget G,77067.38,82,19209.97,Portable gadget with long battery life,North America,2024-02-08
Gadget G,87149.94,65,20575.98,Premium gadget with advanced features,North America,2024-12-08
Widget D,29530.53,65,7068.92,Innovative gadget with AI integration,Europe,2024-01-14
Widget C,29303.99,117,8420.12,High-performance device for enterprise use,Europe,2024-12-24
Gadget G,52656.89,113,19034.89,Eco-friendly product for sustainable markets,Australia,2024-08-03
Widget G,98542.0,97,21317.74,Eco-friendly product for sustainable markets,North America,2024-04-17
Widget F,66684.18,97,13464.89,Reliable widget for everyday applications,Asia,2024-06-18
Widget I,99931.13,81,35315.37,Premium gadget with advanced features,South America,2024-04-14
Widget A,80231.98,157,16174.67,Eco-friendly product for sustainable markets,Europe,2024-12-08
Gadget G,83982.59,193,19842.4,Durable widget for heavy machinery,North America,2024-10-30
Gadget E,25519.69,123,10183.55,Compact device for consumer electronics,Europe,2024-01-14
Gadget G,30365.78,92,11253.25,High-quality widget for industrial use,South America,2024-06-10
Gadget E,37151.81,52,13613.23,Compact device for consumer electronics,Australia,2024-09-08
Widget G,79602.8,156,20464.36,High-quality widget for industrial use,North America,2024-07-22
Gadget J,51174.76,87,12249.34,Premium gadget with advanced features,Europe,2024-11-10
Widget G,59495.01,74,15602.18,Premium gadget with advanced features,North America,2024-04-28
Gadget H,47942.64,145,13675.5,Portable gadget with long battery life,South America,2024-10-05
Widget G,86796.0,92,27946.91,Durable widget for heavy machinery,Asia,2024-02-04
Gadget J,61760.45,105,19387.05,Innovative gadget with AI integration,North America,2024-09-10
Gadget A,44681.01,66,11685.65,High-quality widget for industrial use,South America,2024-03-10
Gadget E,47472.48,125,13631.26,Eco-friendly product for sustainable markets,Europe,2024-08-15
Gadget B,81515.14,58,30612.71,High-quality widget for industrial use,Asia,2024-04-01
Gadget C,16992.01,109,6329.11,Innovative gadget with AI integration,South America,2024-09-17
Widget J,12831.13,87,4257.41,Cost-effective solution for small businesses,Asia,2024-09-01
Gadget I,34400.45,184,12269.17,Portable gadget with long battery life,North America,2024-03-11
Gadget I,86834.79,69,34598.53,High-quality widget for industrial use,South America,2024-12-23
Gadget J,26435.19,175,5633.82,Innovative gadget with AI integration,Europe,2024-11-03
Widget I,18234.21,59,7228.42,Portable gadget with long battery life,Australia,2024-11-15
